dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,family,p_fdr,sig
COM_X_range,-0.0012146983758428,0.0015036826548718,107.449560423541,-0.807815646411371,0.420981488682477,0.0162799903846154,0.0120657059236574,0.0172792150684932,0.0086895640445989,52,73,True,운동역학,0.5150884872132602,
COM_X_path_length,0.0006953427001956,0.0015580632662516,104.720164752446,0.446286563105075,0.65631172276901,0.0203220807692308,0.0146536690752814,0.0203337835616439,0.0086714290636615,52,73,True,운동역학,0.6883269287577422,
vCOM_X_peak,0.0004893031894507,0.0043355823364505,106.121215857481,0.112857547494148,0.91035670805288,0.0773883781538462,0.0372188357357374,0.0825403486849315,0.0270973679624108,52,73,True,운동역학,0.91035670805288,
vCOM_X_mean_abs,-0.0020654535852336,0.0020026027363059,103.62821024195,-1.0313845815689,0.304761651401665,0.0377343472110677,0.0154090405887705,0.0433504584062707,0.0144023891340668,52,73,True,운동역학,0.40952346907098736,
COM_Y_range,0.0008767803241579,0.0011394397631149,112.721945245102,0.769483699393713,0.443215675043968,0.0069468848076923,0.0060122661620346,0.0062614704109589,0.0069978593527325,52,73,True,운동역학,0.5150884872132602,
COM_Y_path_length,0.0011785482319027,0.0011370788265198,109.139311635308,1.03647012363242,0.302273875758396,0.0080311113461538,0.0062184491195079,0.0069703891780821,0.0072616214988086,52,73,True,운동역학,0.40952346907098736,
vCOM_Y_peak,0.0234825852441581,0.0046843302134261,116.53486579943,5.01300808744278,1.93295297971476e-06,0.0565062637692308,0.0295322965645151,0.0337907711452055,0.0237884594843754,52,73,True,운동역학,4.889234007513805e-06,***
vCOM_Y_mean_abs,0.0030113845972262,0.0019513761666369,115.012914181674,1.54321070878721,0.125526721404246,0.0157188193948417,0.0103475470053092,0.0132295780506609,0.0116947867099861,52,73,True,운동역학,0.2159059608153031,
COP_X_range,0.0121901223108763,0.020098916598575,120.493181247129,0.60650643785151,0.545319523150333,0.102803294040794,0.171911822987992,0.0904505087597081,0.0136062871999179,52,73,True,운동역학,0.6012497306529313,
COP_X_path_length,0.0346937726863269,0.041093628773091,119.622529576197,0.84426159777462,0.400208499268625,0.143761801077008,0.352118138601319,0.109044256477511,0.0309581804688345,52,73,True,운동역학,0.5061460431926729,
COP_X_peak_velocity,2.33939293268908,2.04035144416346,121.563562586546,1.14656371547218,0.253813789329771,3.43377264224443,17.4728991871808,1.07836772604542,0.453873215910916,52,73,True,운동역학,0.3637997647060051,
COP_X_mean_velocity,0.178341369219154,0.18881121050287,118.576807983303,0.944548624756808,0.346810027585501,0.435590268549839,1.62859844916502,0.253390226833286,0.1062550821371,52,73,True,운동역학,0.4519039753386831,
COP_Y_range,0.0599925767028196,0.0059437641472965,110.047981610374,10.0933642749109,2.3735856852247102e-17,0.104775000473074,0.0399879532241658,0.0489660104179899,0.0355724155885937,52,73,True,운동역학,1.0206418446466254e-15,***
COP_Y_path_length,0.0695396018658346,0.0088527257761935,104.663172880894,7.85516276273217,3.68816709502085e-12,0.155308288261129,0.0704432799100339,0.0981009434223003,0.0709223617604647,52,73,True,운동역학,3.171823701717931e-11,***
