dv,family,axis,window_type,estimate,SE,df,t_value,p_value,p_fdr,sig,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged
xCOM_Y_peak_velocity,xCOM,Y,window,0.126903026047615,0.0142967025860006,117.026868315463,8.87638427702057,9.500414717235741e-15,2.280099532136578e-13,***,0.270537269821645,0.0939797298235078,0.148265075734846,0.0703021335523298,53,72,True
xCOM_BOS_AP_foot_mean_window,xCOM_BOS,AP,window_mean,-0.0665727987835365,0.0085176733552438,101.461224535977,-7.81584313074785,5.24582619103461e-12,6.294991429241533e-11,***,0.329173863088511,0.125556840916178,0.403604534653117,0.0995753171849632,53,72,True
xCOM_BOS_AP_foot_platformonset,xCOM_BOS,AP,platform_onset,-0.0439793102900516,0.0065080225813946,103.39059795994,-6.75770708229888,8.48616837074545e-10,6.78893469659636e-09,***,0.509103418070294,0.0596264696680551,0.571488134125118,0.0653919323866081,53,72,True
xCOM_BOS_AP_foot_steponset,xCOM_BOS,AP,step_onset,-0.0893382758937553,0.0149536527695308,104.166156305792,-5.97434468157429,3.25555463286503e-08,1.953332779719018e-07,***,0.235433949660703,0.171985789634576,0.323183589679665,0.0995826517047993,53,72,True
xCOM_Y_mean_velocity,xCOM,Y,window,0.0276526498623156,0.0047154236017897,114.963368602356,5.8642981410662,4.41421540016961e-08,2.1188233920814128e-07,***,0.0703405019564617,0.0320246535349061,0.0450070478693664,0.0233012982742077,53,72,True
COM_Y_peak_velocity,COM,Y,window,0.0230059739778832,0.0046824445641795,116.517215811932,4.91324001011729,2.95411841894121e-06,1.181647367576484e-05,***,0.0560958151698113,0.0293992024723459,0.0339619193138889,0.0239100959234179,53,72,True
xCOM_Y_max_min,xCOM,Y,window,0.0077834240313032,0.0021214842364987,114.33326989671,3.66885782010273,0.0003715062599929,0.0012737357485470857,**,0.0234775540149096,0.0116436405813322,0.0160567962348102,0.0124394390441542,53,72,True
COM_Z_mean_velocity,COM,Z,window,0.0035712322393135,0.0012492180411869,101.972334497017,2.85877414636141,0.0051574159067261,0.0154722477201783,*,0.0250365748109048,0.0117507157760803,0.0220471315560018,0.0082122680223321,53,72,True
xCOM_X_mean_velocity,xCOM,X,window,0.0133179449774979,0.0055415444931332,101.485191028224,2.40329117523114,0.0180637992866189,0.04817013143098373,*,0.128639081361022,0.0777606687020788,0.134668401891277,0.0694428690963737,53,72,True
COM_Z_peak_velocity,COM,Z,window,0.0064978892516589,0.002837882656144,102.632946040062,2.2896962415239,0.0240856956892963,0.0507855082849032,n.s.,0.0588650973584906,0.029459263579239,0.0508857270555556,0.0234649514599579,53,72,True
