Frame,Time_s,Hip_L_X_deg,Hip_L_Y_deg,Hip_L_Z_deg,Hip_R_X_deg,Hip_R_Y_deg,Hip_R_Z_deg,Knee_L_X_deg,Knee_L_Y_deg,Knee_L_Z_deg,Knee_R_X_deg,Knee_R_Y_deg,Knee_R_Z_deg,Ankle_L_X_deg,Ankle_L_Y_deg,Ankle_L_Z_deg,Ankle_R_X_deg,Ankle_R_Y_deg,Ankle_R_Z_deg,Trunk_X_deg,Trunk_Y_deg,Trunk_Z_deg,Neck_X_deg,Neck_Y_deg,Neck_Z_deg
1,0.0,18.81211170075744,0.15179493,-6.961115785552256,15.052205260786728,1.7158713,11.850521643944694,0.049792085719499564,5.543508,9.17257864020653,9.617545827838995,-5.5435038,-17.288501402602698,3.5363633130594825,-0.36402655,5.3361927918206954e-08,-3.210102892211133,7.7984157,-6.597722275677958e-07,14.119379858855053,-1.4353845,1.1969965217385525,18.862334081724544,1.0687112,2.428726903284147
2,0.01,18.80484437948055,0.14593738,-6.959756577907424,15.044669854584912,1.7090791,11.853876120600816,0.053726671552770285,5.542613,9.173838810108396,9.61923715343222,-5.541398,-17.28945079889733,3.5366196585967695,-0.364358,-3.401822817320439e-07,-3.2126511931017827,7.798342,-3.096889808901057e-07,14.110018230823904,-1.445417,1.2006800214135993,18.859917902305654,1.0721337,2.421051264760934
3,0.02,18.798497426194313,0.14064996,-6.958534827819637,15.037935288063279,1.703004,11.856830177416846,0.05694415422425578,5.5419173,9.174697706396525,9.620660394100522,-5.539452,-17.290591440488722,3.536853379132431,-0.3646293,-1.3340481979551738e-08,-3.2152528548453225,7.7982936,-1.7504157244997013e-07,14.100936640548726,-1.4544365,1.203684771039876,18.8580617983987,1.0752381,2.413918839720148
4,0.03,18.79315451071607,0.1361354,-6.9575632334102036,15.032162070667326,1.697805,11.859456385152717,0.05944647139992664,5.541434,9.175455003620751,9.621727611158336,-5.5377336,-17.29192845001875,3.5370625536757627,-0.36484447,2.6680967139658156e-08,-3.217806918708084,7.7982554,-4.5780100040762387e-07,14.092368168234945,-1.462294,1.2060081025747382,18.856314977518473,1.0781449,2.407261753156913
5,0.04,18.78859023680321,0.13233994,-6.956620667304741,15.027112853323393,1.693535,11.861663390028276,0.06144765012567426,5.541104,9.175758947038815,9.622682983868492,-5.536188,-17.29326375200149,3.537137899200044,-0.36502334,2.0677750328373743e-07,-3.220467917720039,7.798274,-2.827594534020912e-07,14.084148889342481,-1.468952,1.207681072034568,18.854755986840416,1.0808045,2.4009645321855726
6,0.05,18.784691906334427,0.1291833,-6.955686212048919,15.022866183206938,1.6899736,11.8636851260226,0.06313745493459129,5.5408974,9.175927994220773,9.623419790525206,-5.534779,-17.294718582294703,3.537107163348779,-0.36520904,1.267345955036536e-07,-3.2232209108423775,7.7983785,-1.8850633619397738e-07,14.076497369924773,-1.4746029,1.2089013280184733,18.853123571628785,1.0832877,2.395264739323197
7,0.06,18.781396340059896,0.12657759,-6.954740657735695,15.019316192385824,1.6869104,11.865669295976488,0.06458794965850663,5.5407305,9.175973244224025,9.623953399054114,-5.53347,-17.29611023333809,3.5370064180585215,-0.3654669,-1.8009651706075118e-07,-3.226030679912191,7.7985992,3.231538973007377e-07,14.06942385526558,-1.479428,1.2096412296046561,18.851540675288632,1.0856079,2.3901952448551667
8,0.07,18.77847301909513,0.12447025,-6.953807483140342,15.016198211029714,1.6843586,11.867515154599685,0.0659674677779707,5.5405717,9.17590408855868,9.624596290609741,-5.5322185,-17.297317469273892,3.536822216394343,-0.36582014,7.337266758544664e-08,-3.2290850551316566,7.798899,-3.096893880011049e-07,14.062834430263809,-1.4835167,1.2099227614645074,18.850174637454632,1.0880175,2.385737692648087
9,0.08,18.77585534909572,0.12277871,-6.95277057504697,15.013484918381925,1.6821611,11.869343937749957,0.06736003262596656,5.540356,9.175926286673482,9.625258818959233,-5.5309615,-17.298441035392358,3.5365630960927055,-0.36625856,-4.66916972652338e-08,-3.2322724055965253,7.7992415,-3.09689617001042e-07,14.056816179831381,-1.486975,1.209757983150781,18.84907668454555,1.0905784,2.3820820473382494
10,0.09,18.77346478288622,0.1214575,-6.951614565529945,15.011015804996966,1.680287,11.871194065241383,0.06880687213145888,5.5400777,9.17591091874785,9.626222729405852,-5.5296955,-17.299255535450882,3.536259579561463,-0.36675483,2.6680970320212838e-08,-3.235738086270072,7.799548,3.0968987144541653e-07,14.051426306802595,-1.4898438,1.2091322737897843,18.848364637324575,1.0934391,2.379348477566363
11,0.1,18.771087877055052,0.12038879,-6.950184921559297,15.008623531240168,1.6787295,11.872908442723057,0.070399093280652,5.539745,9.175864814970952,9.627344587977026,-5.5284343,-17.299508252450174,3.5358755948640614,-0.36727864,-9.338340089157696e-08,-3.239326283461856,7.7997847,2.8276047117958924e-07,14.046490641353616,-1.4922059,1.2080758356242538,18.847927505217697,1.0965964,2.377366868933413
12,0.11,18.768702433487427,0.11949829,-6.948381751618413,15.00623638012525,1.6774603,11.874574155106894,0.07216028157052358,5.5393543,9.17553013570162,9.628871135256523,-5.52715,-17.299439950558472,3.535450842475051,-0.36776465,9.338341361379569e-08,-3.2431588733598793,7.7998376,-1.481126429062357e-07,14.042040773109353,-1.494099,1.2065341338625348,18.8478130995491,1.1000332,2.3763389254633265
13,0.12,18.7660659804678,0.118648574,-6.946052657111439,15.003693842206712,1.6763933,11.876255235416362,0.0741858728864687,5.5389266,9.17497945169979,9.630692234443979,-5.5257845,-17.299091610910803,3.5349746502238544,-0.36817256,-6.003219991839096e-08,-3.2471513323731633,7.7996974,-3.7701389372095246e-07,14.03799388602612,-1.4956015,1.2045853955149657,18.847947995785205,1.1038067,2.3760926117663828
