Frame,Time_s,Hip_L_X_deg,Hip_L_Y_deg,Hip_L_Z_deg,Hip_R_X_deg,Hip_R_Y_deg,Hip_R_Z_deg,Knee_L_X_deg,Knee_L_Y_deg,Knee_L_Z_deg,Knee_R_X_deg,Knee_R_Y_deg,Knee_R_Z_deg,Ankle_L_X_deg,Ankle_L_Y_deg,Ankle_L_Z_deg,Ankle_R_X_deg,Ankle_R_Y_deg,Ankle_R_Z_deg,Trunk_X_deg,Trunk_Y_deg,Trunk_Z_deg,Neck_X_deg,Neck_Y_deg,Neck_Z_deg
1,0.0,17.967456357047816,-3.1686356,2.1617631966020867,18.312452627119743,2.4626484,0.8348676292681457,0.861125651202025,-5.2895494,-9.70958860332044,1.5263708685181931,1.2971041,-1.602469954764419,5.421037474421788,8.729094,2.429377892349201e-07,6.235427396145442,7.3190594,2.6899598468461958e-08,12.797934622396223,2.196525,-3.4635155035798886,15.468524073719223,0.03134694,5.8655957044777
2,0.01,17.971904517744786,-3.1718853,2.151326240663484,18.31957309932948,2.461101,0.8397881935957581,0.8606356918507824,-5.2762113,-9.704902239776166,1.5236921537030788,1.2970833,-1.6042121866113013,5.418835592188105,8.721989,-3.509034481189459e-07,6.233413344113934,7.319507,-4.303940334952655e-07,12.80755835893677,2.1872807,-3.4718265631393246,15.419327928674914,0.045316383,5.869449211830057
3,0.02,17.975790895382524,-3.1759965,2.1416075218047905,18.325889316764453,2.4606066,0.8441037525732954,0.8595381658285259,-5.2626762,-9.700274786613482,1.5207896434709407,1.2967079,-1.6058972156238844,5.416581629762001,8.714818,-1.0796822877220841e-07,6.231830020886961,7.3197556,-3.2279571595473e-07,12.815051930229922,2.1775217,-3.4796528927111012,15.376149180289385,0.059499282,5.8717326294469565
4,0.03,17.980001707005837,-3.1810856,2.1329786450055375,18.332325062509895,2.4612625,0.8474375785793492,0.8581289057036819,-5.249236,-9.695964083473559,1.5174564044342687,1.2960182,-1.6076494793111102,5.414249547047264,8.707884,-1.6194931527025586e-07,6.230684256653691,7.3197517,2.68996429962275e-08,12.822278270371795,2.1676722,-3.487210283584309,15.343318168496426,0.073808536,5.873241674366707
5,0.04,17.986160830089894,-3.186889,2.1254336338502005,18.34023954421065,2.462875,0.8499156565875945,0.8561778728394384,-5.2363024,-9.692065753004774,1.5139243428597258,1.294994,-1.6096080360556113,5.410959957188257,8.701337,-1.3495540063326979e-07,6.229401034863375,7.3195643,2.4209669791051644e-07,12.831561351227489,2.1577263,-3.49478453648703,15.317566647778186,0.08785696,5.874487330116588
6,0.05,17.9955438024622,-3.19345,2.119401723039433,18.35076657326893,2.465628,0.8510648359154491,0.8532988947434251,-5.2239456,-9.688514908410014,1.5100442618026297,1.2936707,-1.6121966777510461,5.408614214095181,8.695254,-1.6194385743842247e-07,6.227677692758416,7.319324,-2.1519691496988292e-07,12.843580776619419,2.1474967,-3.5038477706288136,15.297108523666704,0.10128471,5.875978872676589
7,0.06,18.00892755814084,-3.2014186,2.1158150199515298,18.364230583670317,2.470063,0.850163944636095,0.8488578844007416,-5.2120843,-9.68488039399792,1.505720111727777,1.2920691,-1.6156101715104658,5.405862928520135,8.689581,1.079609389408785e-07,6.2256188176104805,7.319284,-2.6899611190680687e-08,12.858799291863853,2.1375482,-3.5139218727677592,15.279920352620367,0.11347491,5.876233724109995
8,0.07,18.025731531046365,-3.2112875,2.115657712157208,18.37972486780249,2.476732,0.8462265540229942,0.8427256018256867,-5.200553,-9.681065733346468,1.5011198726000676,1.2899646,-1.6191316676361363,5.403429246741495,8.68396,3.2387796965730096e-07,6.223408824527159,7.3198605,-1.0759858470712872e-07,12.875926844981306,2.1321256,-3.526132970343273,15.266227530881785,0.120505325,5.877242884559864
9,0.08,18.045535664544815,-3.2239761,2.1200712950215057,18.39621123691161,2.4866915,0.838098202023856,0.8344548830710359,-5.1891217,-9.67727753967805,1.4965401240398681,1.286948,-1.6218134773807182,5.399807965820918,8.678265,4.588201519053146e-07,6.220995633316028,7.3213153,-8.069920887749446e-08,12.89265141693773,2.1393116,-3.5459699741271056,15.25659184151019,0.11524287,5.885807514892237
10,0.09,18.064487731944308,-3.2376335,2.1261954133860685,18.411294002146292,2.4978318,0.8283261756731246,0.8265260473008561,-5.177773,-9.673634487529494,1.4927348548985249,1.2837788,-1.6238676567735997,5.3958182815719855,8.672685,2.6989019763331306e-08,6.218088534050541,7.323037,-1.6139904114370652e-07,12.907842611425483,2.1578622,-3.5715912943642927,15.248436595641195,0.0962071,5.903433671819101
