Frame,Time_s,Hip_L_X_deg,Hip_L_Y_deg,Hip_L_Z_deg,Hip_R_X_deg,Hip_R_Y_deg,Hip_R_Z_deg,Knee_L_X_deg,Knee_L_Y_deg,Knee_L_Z_deg,Knee_R_X_deg,Knee_R_Y_deg,Knee_R_Z_deg,Ankle_L_X_deg,Ankle_L_Y_deg,Ankle_L_Z_deg,Ankle_R_X_deg,Ankle_R_Y_deg,Ankle_R_Z_deg,Trunk_X_deg,Trunk_Y_deg,Trunk_Z_deg,Neck_X_deg,Neck_Y_deg,Neck_Z_deg
1,0.0,-0.041388928359840094,0.031366587,0.03116918019842352,-0.04703718434029369,-0.011021376,-0.006371460470671053,0.013350235361051288,-0.063766,-0.020605904568068212,0.01736931658894103,0.005235553,0.010991860298799727,0.01322134464638669,0.032549858,2.3312665096029453e-07,0.008935206902739523,-0.0013270378,1.3449837979169826e-07,-0.054308075943350076,0.034879208,0.05025922906151736,0.1492990870568729,-0.05190088,-0.01603709013172505
2,0.01,-0.03694076766286969,0.028116941,0.020732224259820686,-0.039916712130555254,-0.012568712,-0.0014508961430587108,0.012860276009808658,-0.050427914,-0.015919541023793116,0.01469060177382664,0.005214691,0.009249628451917458,0.011019462412703795,0.025444984,-3.6071458639357144e-07,0.006921154871231572,-0.0008792877,-3.227952521720292e-07,-0.04468433940280292,0.025634766,0.041948169502081356,0.10010294201256364,-0.037931435,-0.012183582779368152
3,0.02,-0.03305439002513211,0.024005651,0.011013505401127333,-0.033600494695583905,-0.013063192,0.002864662834478615,0.011762749987552223,-0.03689289,-0.011292087861109579,0.011788091541688583,0.004839301,0.007564599439334296,0.008765499986599146,0.018274307,-1.1777936704683397e-07,0.005337831644258273,-0.00063085556,-2.1519693463149368e-07,-0.03719076810965127,0.015875816,0.03412183993030471,0.056924193627034825,-0.023748536,-0.00990016516246861
4,0.03,-0.02884357840181906,0.018916607,0.0023846286018742724,-0.02716474895014187,-0.012407303,0.0061984888405324234,0.010353489862708232,-0.023452759,-0.006981384721186146,0.008454852505016541,0.0041496754,0.005812335752108488,0.006433417271862751,0.011340141,-1.7176045354488142e-07,0.0041920674109885425,-0.00063467026,1.344984243194638e-07,-0.029964427967778207,0.006026268,0.026564449057096873,0.024093181834075494,-0.009439282,-0.008391120242718486
5,0.04,-0.022684455317762087,0.01311326,-0.005160382553462739,-0.01925026724938661,-0.010794878,0.008676566848777711,0.008402456998464647,-0.010519028,-0.003083054252401851,0.004922790930473653,0.0031254292,0.0038537790076074163,0.003143827412855238,0.004793167,-1.4476653890789534e-07,0.0029088456206718405,-0.00082206726,3.4969547923375274e-07,-0.02068134711208458,-0.0039196014,0.018990196154375916,-0.0016583388841642233,0.004609145,-0.007145464492837483
6,0.05,-0.013301482945454524,0.0065522194,-0.01119229336423011,-0.008723238191105764,-0.008041859,0.009825746176632344,0.0055234789024514175,0.0018377304,0.000467790342359109,0.001042709873377623,0.0018020868,0.0012651373121725928,0.0007980843197792353,-0.0012893677,-1.7175499571304803e-07,0.0011855035157131155,-0.0010623932,-1.0759813364664663e-07,-0.008661921720154453,-0.014149189,0.009926962012592355,-0.022116462995645847,0.018036895,-0.005653921932836425
7,0.06,8.227273318439643e-05,-0.0014164448,-0.01477899645213343,0.004740772210279687,-0.0036067963,0.008924854897278234,0.0010824685597679018,0.013699055,0.0041023047544523905,-0.0032814402014751387,0.00020051003,-0.0021483564472470906,-0.0019532012552661016,-0.006962776,9.814980066625295e-08,-0.0008733716322222307,-0.0011024475,8.069917013255561e-08,0.006556593524280174,-0.024097681,-0.00014714012635330675,-0.03930463404198292,0.030227095,-0.005399070499430003
8,0.07,0.016886245638708886,-0.011285305,-0.014936304246455201,0.020235056342453817,0.0030622482,0.004987464284177401,-0.005049814015287035,0.025230408,0.007916965405904364,-0.007881679329184488,-0.0019040108,-0.005669852572917522,-0.004386883033906663,-0.012583733,3.140668313826754e-07,-0.003083364715544157,-0.0005259514,1.9661610756875894e-13,0.023684146641732795,-0.029520273,-0.012358237701866948,-0.052997455780564806,0.037257507,-0.004389910049560797
9,0.08,0.03669037913715911,-0.023973942,-0.010522721382157485,0.03672142545157442,0.013021708,-0.003140887714960794,-0.013320532769937832,0.036661625,0.01170515907432268,-0.01246142788938398,-0.004920602,-0.008351662317499509,-0.008008163954483116,-0.018279076,4.49009013630689e-07,-0.005496555926674418,0.0009288788,2.689957244574183e-08,0.04040871859815631,-0.022334337,-0.03219524148569963,-0.06263314515216045,0.03199505,0.004174720282811961
10,0.09,0.055642446536651846,-0.037631273,-0.004398603017594649,0.05180419068625497,0.024162054,-0.012912914065692171,-0.021249368540117608,0.04801035,0.01534821122287866,-0.01626669703072725,-0.008089781,-0.010405841710380948,-0.011997848203415984,-0.023859024,1.7177881488705752e-08,-0.008403655192161352,0.0026507378,-5.3800259820470224e-08,0.05559991308590995,-0.0037837029,-0.05781656172288674,-0.0707883910211553,0.012959279,0.021800877209676273
