MocapFrame,stage0_L,stage1_L,stage2_L,final_L,stage0_R,stage1_R,stage2_R,final_R,dot_shankX_footX_L,dot_shankX_footX_R,Rrel_L_10,Rrel_L_00,Rrel_R_10,Rrel_R_00,az_from_Rrel_L_deg,az_from_Rrel_R_deg
1,1.0757955226791484e-7,-1.0757955226791484e-7,-1.8832241107785773e-7,-1.8832241107785773e-7,1.0713832027806478e-7,1.0713832027806478e-7,-6.160654140794672e-7,-6.160654140794672e-7,0.9920259,0.9961114,1.8626451e-9,0.9920259,1.8626451e-9,0.9961114,1.07579545e-7,1.0713831e-7
2,-1.8826150981681705e-7,1.8826150981681705e-7,1.0751865100687418e-7,1.0751865100687418e-7,-5.089003516976407e-7,-5.089003516976407e-7,-1.2321040860551726e-6,-1.2321040860551726e-6,0.9920402,0.9961245,-3.259629e-9,0.9920402,-8.8475645e-9,0.9961245,-1.882615e-7,-5.089003e-7
3,1.8826060653928753e-7,-1.8826060653928753e-7,-2.6900346534923037e-7,-2.6900346534923037e-7,-2.142713990020145e-7,-2.142713990020145e-7,-9.374751333595465e-7,-9.374751333595465e-7,0.9920449,0.9961358,3.259629e-9,0.9920449,-3.7252903e-9,0.9961358,1.882606e-7,-2.1427138e-7
4,-5.378921635633349e-8,5.378921635633349e-8,-2.695364245360938e-8,-2.695364245360938e-8,-2.6783741039191227e-7,-2.6783741039191227e-7,-9.910411447494442e-7,-9.910411447494442e-7,0.9920362,0.9961426,-9.313226e-10,0.9920362,-4.656613e-9,0.9961426,-5.3789215e-8,-2.678374e-7
5,1.0758030287881967e-7,-1.0758030287881967e-7,-1.8832316168876252e-7,-1.8832316168876252e-7,-1.1249114037364922e-6,-1.1249114037364922e-6,-1.8481151380940243e-6,-1.8481151380940243e-6,0.992019,0.9961477,1.8626451e-9,0.992019,-1.9557774e-8,0.9961477,1.075803e-7,-0.0000011249114
6,-3.765353092969233e-7,3.765353092969233e-7,2.9579245048698044e-7,2.9579245048698044e-7,-6.9637033595421e-7,-6.9637033595421e-7,-1.419574070311742e-6,-1.419574070311742e-6,0.9920078,0.9961526,-6.519258e-9,0.9920078,-1.21071935e-8,0.9961526,-3.765353e-7,-6.963703e-7
7,8.068604774222257e-8,-8.068604774222257e-8,-1.6142890655216544e-7,-1.6142890655216544e-7,3.481829543110467e-7,3.481829543110467e-7,-3.750207800464853e-7,-3.750207800464853e-7,0.9920089,0.9961589,1.3969839e-9,0.9920089,6.0535967e-9,0.9961589,8.068604e-8,3.4818294e-7
8,3.496364423560381e-7,-3.496364423560381e-7,-4.3037930116598095e-7,-4.3037930116598095e-7,-1.3927238785797018e-6,-1.3927238785797018e-6,-2.1159276129372336e-6,-2.1159276129372336e-6,0.99201775,0.99616456,6.0535967e-9,0.99201775,-2.4214387e-8,0.99616456,3.4963642e-7,-0.0000013927238
9,-1.8826448681599892e-7,1.8826448681599892e-7,1.0752162800605605e-7,1.0752162800605605e-7,-7.767085009864834e-7,-7.767085009864834e-7,-1.4999122353440155e-6,-1.4999122353440155e-6,0.9920245,0.99616826,-3.259629e-9,0.9920245,-1.3504177e-8,0.99616826,-1.8826448e-7,-7.767085e-7
10,5.37899860505664e-8,-5.37899860505664e-8,-1.3453284486050926e-7,-1.3453284486050926e-7,1.0713216272420146e-7,1.0713216272420146e-7,-6.160715716333306e-7,-6.160715716333306e-7,0.99202204,0.9961687,9.313226e-10,0.99202204,1.8626451e-9,0.9961687,5.3789982e-8,1.0713216e-7
