Frame,Time_s,Hip_L_X_deg,Hip_L_Y_deg,Hip_L_Z_deg,Hip_R_X_deg,Hip_R_Y_deg,Hip_R_Z_deg,Knee_L_X_deg,Knee_L_Y_deg,Knee_L_Z_deg,Knee_R_X_deg,Knee_R_Y_deg,Knee_R_Z_deg,Ankle_L_X_deg,Ankle_L_Y_deg,Ankle_L_Z_deg,Ankle_R_X_deg,Ankle_R_Y_deg,Ankle_R_Z_deg,Trunk_X_deg,Trunk_Y_deg,Trunk_Z_deg,Neck_X_deg,Neck_Y_deg,Neck_Z_deg
1,0.0,-1.4900049136646345,-2.1319013833999634,8.148969138591394,-0.5179810560862581,-0.019963979721069336,0.21732552033240538,2.96787279461757,0.9689891338348389,-2.804087419641603,0.23449757640116853,-0.0723116397857666,0.1817336180108795,-1.9552379128947648,0.6629753112792969,-7.896065803202629,0.18655807944243596,0.24349021911621094,0.4806813930288172,-0.21595009098829365,-0.21272516250610352,-0.10461053699768064,-0.2748724254106989,0.10617232322692871,-0.09470398793681145
2,0.01,-1.4756461484819763,-2.1261167526245117,8.150123013674303,-0.5016014086829212,-0.013372421264648438,0.22735053048669052,2.9541176474028106,0.9406740665435791,-2.796455963904583,0.22707401454701093,-0.06769013404846191,0.17761714837547737,-1.9566230539141023,0.6371278762817383,-7.8778189528349385,0.18375193891061858,0.2447676658630371,0.47109522252870395,-0.2072945337625942,-0.1982111930847168,-0.10955570067847575,-0.2815216145677084,0.1100473403930664,-0.09016191213875313
3,0.02,-1.46578506286777,-2.120195746421814,8.150771027871809,-0.4903777003292973,-0.00873112678527832,0.23584984713512647,2.9545808196059014,0.9244036674499512,-2.815144642134207,0.22135202356983275,-0.06423115730285645,0.1739483762958285,-1.980973958965667,0.6829185485839844,-7.903106020689619,0.18068240920893253,0.24424314498901367,0.46214724782916417,-0.20199089187208052,-0.18703627586364746,-0.11428784783453083,-0.2877763603001462,0.11300897598266602,-0.08608941184613261
4,0.03,-1.4590402510623814,-2.1136919260025024,8.151605164724195,-0.4826698318509379,-0.005238175392150879,0.24236157873508724,2.9610712068647063,0.9121301174163818,-2.8443172338529776,0.21661678148430985,-0.06155824661254883,0.17072762193705016,-2.0147030339127765,0.7570199966430664,-7.944511481211882,0.17762205757394378,0.24271869659423828,0.4541670255576511,-0.199042811471573,-0.17759394645690918,-0.12071793732956904,-0.29387230413438203,0.11481451988220215,-0.08003701046785494
5,0.04,-1.4541327601437288,-2.105895161628723,8.153095426623729,-0.4771100578665468,-0.003081798553466797,0.24832091878592344,2.9656231010596965,0.8960494995117188,-2.8685528794622983,0.212599349591873,-0.05926847457885742,0.16775478210080208,-2.045853925891618,0.8156013488769531,-7.9745600446917075,0.17461720122596125,0.24120140075683594,0.4467413292693774,-0.1973344104054231,-0.16887235641479492,-0.12948171036493017,-0.3001338800559914,0.11550045013427734,-0.07098786359123466
6,0.05,-1.4496513022745532,-2.098742723464966,8.154064886599047,-0.4721632933601665,-0.0028001070022583008,0.25584864102492233,2.968317610687267,0.8806295394897461,-2.8872129562747735,0.2094704826217726,-0.05708456039428711,0.16432538680722097,-2.077606835012773,0.8577299118041992,-7.994975480120876,0.17132761136695374,0.24009275436401367,0.43792099372995263,-0.19575919802808883,-0.16091060638427734,-0.13963467984444833,-0.3062588521942011,0.11521768569946289,-0.05979104910746802
7,0.06,-1.4449299340107817,-2.0942320823669434,8.153217943141964,-0.46693990619239933,-0.003815174102783203,0.26395095292784987,2.969508198036965,0.870661735534668,-2.8997745279320735,0.20696753845608007,-0.05475902557373047,0.16037454925919192,-2.1123070774824937,0.8850517272949219,-8.008877476402791,0.16790184461136937,0.2399578094482422,0.42773803545110933,-0.19415154225219844,-0.15401029586791992,-0.1511644660502529,-0.31213793752228725,0.1148519515991211,-0.04680984770303542
8,0.07,-1.4402111270679487,-2.0893808603286743,8.151985093996778,-0.461435627495014,-0.00507962703704834,0.27082895342205404,2.9701963395958435,0.8593144416809082,-2.909685559304585,0.20454058014490428,-0.05243825912475586,0.15636971052803728,-2.154253190166246,0.9056978225708008,-8.017315321348693,0.16462975711211003,0.24045085906982422,0.4176135606670348,-0.19304505160665464,-0.14823293685913086,-0.16246277287621758,-0.31717007939329633,0.1143178939819336,-0.03417613217262794
9,0.08,-1.4363145041464573,-2.0837208032608032,8.151441667070939,-0.4567116979103041,-0.006336688995361328,0.277646335987372,2.970466985841705,0.8455145359039307,-2.9182019514259445,0.2023330416608149,-0.05052828788757324,0.15233168134638442,-2.192528823223057,0.9220151901245117,-8.021628585809559,0.16132117078947328,0.24086523056030273,0.40736315427013814,-0.1931500657651437,-0.14362883567810059,-0.17136261608644987,-0.3213296645978332,0.11293864250183105,-0.024435855529366002
10,0.09,-1.4337019567889282,-2.0816917419433594,8.149096350864685,-0.4531659759574218,-0.007674694061279297,0.28551300636393506,2.9701621886499936,0.8402822017669678,-2.9218531144241395,0.20070276088329742,-0.0491175651550293,0.14811980250601375,-2.2017845833220706,0.9283666610717773,-8.024132703914013,0.15779743350798148,0.24179363250732422,0.3964092383887303,-0.19428387716736673,-0.14052081108093262,-0.17775055050770439,-0.3242837214138632,0.11142134666442871,-0.018271182916606676
11,0.1,-1.4321438198845176,-2.0830767154693604,8.144949572264842,-0.4504142634955528,-0.008672118186950684,0.29291863897152126,2.9692307216019325,0.8431205749511719,-2.920783336045386,0.19928293530958108,-0.04806804656982422,0.1437259631572858,-2.1828648525994296,0.9250335693359375,-8.024820845472892,0.15403293205824653,0.24354934692382812,0.3849840394545918,-0.19628683014147263,-0.13881778717041016,-0.182398067351075,-0.3257863630312663,0.11042022705078125,-0.01428960951731284
12,0.11,-1.4311133150934925,-2.0829994678497314,8.141751763072806,-0.44824055579219646,-0.009197235107421875,0.29905641771442326,2.967586353559252,0.8420286178588867,-2.9190817651684067,0.19781828661943646,-0.04726600646972656,0.13944407487792243,-2.1607154028947244,0.9186687469482422,-8.021827515069134,0.15009981031337727,0.2447185516357422,0.3739157179045858,-0.19921441997446898,-0.13831448554992676,-0.18626117965695177,-0.32609372154391636,0.10991764068603516,-0.011922095196256421
13,0.12,-1.4303252820180017,-2.0815223455429077,8.139483713381539,-0.4466243622798416,-0.009964942932128906,0.30640570126135813,2.9650958958331364,0.8366785049438477,-2.916609236688862,0.196580634997489,-0.04687666893005371,0.13517787468930909,-2.147624918463572,0.910099983215332,-8.015121976851475,0.14604481238050537,0.24434900283813477,0.3626335260561939,-0.20277977872121689,-0.1388382911682129,-0.19018843170800337,-0.32526214601247005,0.11008381843566895,-0.010521052642758377
14,0.13,-1.4300930555862212,-2.083543539047241,8.135211856942519,-0.44573558391409485,-0.011027216911315918,0.31601150855533433,2.9615851785997496,0.8385682106018066,-2.9087865356550817,0.19581608069727063,-0.047159671783447266,0.13097997639239578,-2.142795867998667,0.8928623199462891,-8.005862801657877,0.14166602079229218,0.2422647476196289,0.3509871997476761,-0.2069436327939851,-0.13998627662658691,-0.1947059615137321,-0.3233514005921556,0.11033201217651367,-0.009559703517078688
15,0.14,-1.4303304046598804,-2.089414119720459,8.129181653679044,-0.44529845180721317,-0.01181340217590332,0.3254465611200601,2.9567097041928303,0.8478298187255859,-2.894922105413602,0.19519560069985742,-0.04776597023010254,0.1271230539454542,-2.1438258391811638,0.8643770217895508,-7.992866659214633,0.1369484945099293,0.23796844482421875,0.3398484418718546,-0.2117392793649806,-0.14119315147399902,-0.1999576299335315,-0.3202795230129425,0.11016297340393066,-0.008804113840145789
16,0.15,-1.4307128952534,-2.0946874618530273,8.124784292514025,-0.44499194706820866,-0.012075543403625488,0.33303831638252923,2.9500152650325715,0.8532109260559082,-2.878110448545262,0.19435217905906654,-0.04825949668884277,0.12328448763190702,-2.1372153900033553,0.8262596130371094,-7.972816638906061,0.13206939156501285,0.23242902755737305,0.3288616557050661,-0.21720257692734357,-0.1424238681793213,-0.20558848057397228,-0.31629240008495074,0.10998129844665527,-0.00857658316342036
