Frame,Time_s,Hip_L_X_deg,Hip_L_Y_deg,Hip_L_Z_deg,Hip_R_X_deg,Hip_R_Y_deg,Hip_R_Z_deg,Knee_L_X_deg,Knee_L_Y_deg,Knee_L_Z_deg,Knee_R_X_deg,Knee_R_Y_deg,Knee_R_Z_deg,Ankle_L_X_deg,Ankle_L_Y_deg,Ankle_L_Z_deg,Ankle_R_X_deg,Ankle_R_Y_deg,Ankle_R_Z_deg,Trunk_X_deg,Trunk_Y_deg,Trunk_Z_deg,Neck_X_deg,Neck_Y_deg,Neck_Z_deg
1,0.0,-1.4900049136646345,-2.1319013833999634,8.148969138591394,-0.5179810560862581,-0.019963979721069336,0.21732552033240538,3.2269233002593474,1.798152208328247,-10.667198627315978,0.22030049460276824,-0.06467103958129883,0.6629112669715811,-1.9552379128947648,0.6629753112792969,1.6213633188552594e-7,0.18655807944243596,0.24349021911621094,1.476400538277811e-7,-0.21595009098829365,-0.21272516250610352,-0.10461053699768064,-0.2748724254106989,0.10617232322692871,-0.09470398793681145
2,0.01,-1.4756461484819763,-2.1261167526245117,8.150123013674303,-0.5016014086829212,-0.013372421264648438,0.22735053048669052,3.2184474623861847,1.7661325931549072,-10.641809106623747,0.21292303652550815,-0.0603945255279541,0.6492026504205421,-1.9566230539141023,0.6371278762817383,2.4316133134015205e-7,0.18375193891061858,0.2447676658630371,9.39341854971527e-8,-0.2072945337625942,-0.1982111930847168,-0.10955570067847575,-0.2815216145677084,0.1100473403930664,-0.09016191213875313
3,0.02,-1.46578506286777,-2.120195746421814,8.150771027871809,-0.4903777003292973,-0.00873112678527832,0.23584984713512647,3.2230685122465212,1.752406120300293,-10.68582284563531,0.2073085143060518,-0.05716085433959961,0.6365800339475358,-1.980973958965667,0.6829185485839844,-1.3503206472331178e-7,0.18068240920893253,0.24424314498901367,1.337532018525514e-8,-0.20199089187208052,-0.18703627586364746,-0.11428784783453083,-0.2877763603001462,0.11300897598266602,-0.08608941184613261
4,0.03,-1.4590402510623814,-2.1136919260025024,8.151605164724195,-0.4826698318509379,-0.005238175392150879,0.24236157873508724,3.2333974658188724,1.7451629638671875,-10.756264294092944,0.20269984416358566,-0.05465865135192871,0.6253734010668373,-2.0147030339127765,0.7570199966430664,-1.3505439221717565e-7,0.17762205757394378,0.24271869659423828,6.708135867555901e-8,-0.199042811471573,-0.17759394645690918,-0.12071793732956904,-0.29387230413438203,0.11481451988220215,-0.08003701046785494
5,0.04,-1.4541327601437288,-2.105895161628723,8.153095426623729,-0.4771100578665468,-0.003081798553466797,0.24832091878592344,3.2421866386202103,1.7328553199768066,-10.810502826292014,0.19881410685608314,-0.052497148513793945,0.6149705960740848,-2.045853925891618,0.8156013488769531,5.411185818433051e-8,0.17461720122596125,0.24120140075683594,1.6106627879071306e-7,-0.1973344104054231,-0.16887235641479492,-0.12948171036493017,-0.3001338800559914,0.11550045013427734,-0.07098786359123466
6,0.05,-1.4496513022745532,-2.098742723464966,8.154064886599047,-0.4721632933601665,-0.0028001070022583008,0.25584864102492233,3.248682575407715,1.720015525817871,-10.849583461175536,0.1958782994517414,-0.05033278465270996,0.6027172367030813,-2.077606835012773,0.8577299118041992,-7.567638659677433e-7,0.17132761136695374,0.24009275436401367,1.0736067921695525e-7,-0.19575919802808883,-0.16091060638427734,-0.13963467984444833,-0.3062588521942011,0.11521768569946289,-0.05979104910746802
7,0.06,-1.4449299340107817,-2.0942320823669434,8.153217943141964,-0.46693990619239933,-0.003815174102783203,0.26395095292784987,3.252374292654107,1.7116670608520508,-10.876065812134968,0.19361078336900284,-0.04794001579284668,0.5885817333289172,-2.1123070774824937,0.8850517272949219,-2.1618828114187637e-7,0.16790184461136937,0.2399578094482422,4.022885149971079e-8,-0.19415154225219844,-0.15401029586791992,-0.1511644660502529,-0.31213793752228725,0.1148519515991211,-0.04680984770303542
8,0.07,-1.4402111270679487,-2.0893808603286743,8.151985093996778,-0.461435627495014,-0.00507962703704834,0.27082895342205404,3.2556510759084203,1.7014050483703613,-10.894464634211689,0.19141583804619589,-0.045548439025878906,0.5744509257098072,-2.154253190166246,0.9056978225708008,1.6226534790562483e-7,0.16462975711211003,0.24045085906982422,1.6106619609629136e-7,-0.19304505160665464,-0.14823293685913086,-0.16246277287621758,-0.31717007939329633,0.1143178939819336,-0.03417613217262794
9,0.08,-1.4363145041464573,-2.0837208032608032,8.151441667070939,-0.4567116979103041,-0.006336688995361328,0.277646335987372,3.258862972365619,1.688307762145996,-10.907382229479476,0.18947745170408736,-0.043546438217163086,0.5601574742110857,-2.192528823223057,0.9220151901245117,-3.243460073620064e-7,0.16132117078947328,0.24086523056030273,1.3375956296191433e-8,-0.1931500657651437,-0.14362883567810059,-0.17136261608644987,-0.3213296645978332,0.11293864250183105,-0.024435855529366002
10,0.09,-1.4337019567889282,-2.0816917419433594,8.149096350864685,-0.4531659759574218,-0.007674694061279297,0.28551300636393506,3.2597163191250473,1.6833343505859375,-10.913575503509385,0.1881821703610178,-0.041976213455200195,0.5449889047249572,-2.2017845833220706,0.9283666610717773,-5.135960081293849e-7,0.15779743350798148,0.24179363250732422,4.022859705533627e-8,-0.19428387716736673,-0.14052081108093262,-0.17775055050770439,-0.3242837214138632,0.11142134666442871,-0.018271182916606676
11,0.1,-1.4321438198845176,-2.0830767154693604,8.144949572264842,-0.4504142634955528,-0.008672118186950684,0.29291863897152126,3.2582572199636033,1.6859846115112305,-10.913186182726694,0.1871453689893512,-0.040737152099609375,0.529164637078507,-2.1828648525994296,0.9250335693359375,2.1634513337654744e-7,0.15403293205824653,0.24354934692382812,8.050775856899845e-8,-0.19628683014147263,-0.13881778717041016,-0.182398067351075,-0.3257863630312663,0.11042022705078125,-0.01428960951731284
12,0.11,-1.4311133150934925,-2.0829994678497314,8.141751763072806,-0.44824055579219646,-0.009197235107421875,0.29905641771442326,3.2567541514593774,1.6843302249908447,-10.908534823901915,0.18606918730825095,-0.03975725173950195,0.5138086642770254,-2.1607154028947244,0.9186687469482422,-2.6967019866599622e-8,0.15009981031337727,0.2447185516357422,9.39341854971527e-8,-0.19921441997446898,-0.13831448554992676,-0.18626117965695177,-0.32609372154391636,0.10991764068603516,-0.011922095196256421
13,0.12,-1.4303252820180017,-2.0815223455429077,8.139483713381539,-0.4466243622798416,-0.009964942932128906,0.30640570126135813,3.255143507475724,1.6780216693878174,-10.899462625136845,0.18526215776913157,-0.03916621208190918,0.4982529084423213,-2.147624918463572,0.910099983215332,2.974354105354559e-7,0.14604481238050537,0.24434900283813477,-2.6904146661656452e-8,-0.20277977872121689,-0.1388382911682129,-0.19018843170800337,-0.32526214601247005,0.11008381843566895,-0.010521052642758377
14,0.13,-1.4300930555862212,-2.083543539047241,8.135211856942519,-0.44573558391409485,-0.011027216911315918,0.31601150855533433,3.2509758114215472,1.6783828735351562,-10.882452039008928,0.184995353504678,-0.039196014404296875,0.482401320039191,-2.142795867998667,0.8928623199462891,-8.103143689730141e-8,0.14166602079229218,0.2422647476196289,1.2078710773538683e-7,-0.2069436327939851,-0.13998627662658691,-0.1947059615137321,-0.3233514005921556,0.11033201217651367,-0.009559703517078688
